genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Alternative,Sidewalk Prophets,The Words I Would Say,0HxKVc6xb4WFhWRDzlj7sS,48,0.226,0.386,200453,0.693,0.0,A#,0.153,-3.141,Major,0.0315,155.937,3/4,0.395
Children’s Music,Still Woozy,Lucy,0nXyCNdS6fkZNP11DwGq1i,67,0.385,0.649,142500,0.535,0.000422,F#,0.12,-12.017,Minor,0.224,84.466,4/4,0.843
Hip-Hop,¡MAYDAY!,Last One Standing,1DH321UEFvorigjNf6aE0Z,48,0.0195,0.613,278370,0.852,9.29e-06,G,0.245,-6.555,Major,0.293,141.996,4/4,0.422
Ska,Soda Stereo,Pasos - MTV Unplugged,4Tm0tTVcYTyn5lD7qEJkVU,49,0.0674,0.472,163133,0.657,4.65e-05,F,0.682,-7.579,Major,0.03,90.69,4/4,0.381
Electronic,Carbon Based Lifeforms,Supersede,6NLilvLw53rJp9M8Vj6oFj,45,0.17,0.4,499200,0.53,0.84,G,0.0794,-12.254,Major,0.0365,99.952,4/4,0.0382
Hip-Hop,N.W.A.,I'd Rather Fuck You,33cj3BIft6dg4Suigy8CuN,48,0.0228,0.459,237373,0.775,0.0,B,0.108,-6.901,Minor,0.187,164.063,4/4,0.627
Rock,Jon Pardi,She Ain't In It,1Be8liECvEP5NYZjYvukbI,64,0.123,0.56,198467,0.679,2.46e-05,F,0.224,-4.527,Major,0.0236,92.928,4/4,0.622
Classical,Robert Schumann,"Carnaval, Op. 9: XVIII. Aveu",4bRjGbBW2I7XmOLrffq3oC,31,0.99,0.317,70067,0.0137,0.788,C#,0.0779,-36.803,Major,0.0582,71.399,3/4,0.0661
Reggae,Michael Franti & Spearhead,Good To Be Alive Today,1vzYemRK4AHuJwAOSgD7gi,36,0.124,0.611,254707,0.633,0.0,F,0.0908,-6.408,Major,0.104,160.052,4/4,0.527
Folk,Yusuf / Cat Stevens,"Tea For The Tillerman - Live At The BBC, 1971",65Qxgvy4hZxadYDr2QNSD3,50,0.785,0.539,61750,0.109,3.49e-05,C,0.078,-16.331,Major,0.0842,110.0,4/4,0.549
Dance,Modern English,"I Melt with You (7"" Mix)",24y09nBEJNRP46uA0FRQQ2,54,0.000388,0.467,230067,0.641,8.47e-05,C,0.0594,-12.203,Major,0.0448,156.134,4/4,0.587
